Era 1
Expected : window, 		Predicted : window, 		Log of likelihood : -74.14
Expected : window, 		Predicted : brickface, 		Log of likelihood : -55.63
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -64.53
Expected : window, 		Predicted : window, 		Log of likelihood : -56.90
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.94
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.07
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.30
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.56
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.60
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.39
Expected : brickface, 		Predicted : window, 		Log of likelihood : -56.08
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.37
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -66.24
Expected : window, 		Predicted : window, 		Log of likelihood : -56.19
Expected : window, 		Predicted : brickface, 		Log of likelihood : -55.82
Expected : window, 		Predicted : window, 		Log of likelihood : -55.82
Expected : brickface, 		Predicted : window, 		Log of likelihood : -56.96
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.99
Expected : path, 		Predicted : path, 		Log of likelihood : -64.44
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.33
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.84
Expected : brickface, 		Predicted : path, 		Log of likelihood : -54.66
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.11
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.38
Expected : window, 		Predicted : window, 		Log of likelihood : -60.12
Expected : window, 		Predicted : brickface, 		Log of likelihood : -57.95
Expected : path, 		Predicted : path, 		Log of likelihood : -57.00
Expected : window, 		Predicted : window, 		Log of likelihood : -57.06
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.98
Expected : window, 		Predicted : window, 		Log of likelihood : -60.09
Expected : window, 		Predicted : window, 		Log of likelihood : -59.56
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.13
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.75
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.54
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.56
Expected : window, 		Predicted : window, 		Log of likelihood : -56.84
Expected : window, 		Predicted : window, 		Log of likelihood : -55.66
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.65
Expected : window, 		Predicted : window, 		Log of likelihood : -56.26
Expected : path, 		Predicted : path, 		Log of likelihood : -58.25
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.18
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.80
Expected : brickface, 		Predicted : path, 		Log of likelihood : -54.85
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.97
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.50
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.94
Expected : path, 		Predicted : window, 		Log of likelihood : -64.53
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.90
Expected : brickface, 		Predicted : window, 		Log of likelihood : -55.66
Expected : window, 		Predicted : window, 		Log of likelihood : -58.07
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.43
Expected : brickface, 		Predicted : window, 		Log of likelihood : -56.75
Expected : path, 		Predicted : path, 		Log of likelihood : -54.77
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.72
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.04
Expected : window, 		Predicted : window, 		Log of likelihood : -56.38
Expected : window, 		Predicted : brickface, 		Log of likelihood : -78.43
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.83
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.81
Expected : path, 		Predicted : path, 		Log of likelihood : -59.77
Expected : window, 		Predicted : window, 		Log of likelihood : -58.27
Expected : window, 		Predicted : window, 		Log of likelihood : -55.42
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.67
Expected : window, 		Predicted : window, 		Log of likelihood : -54.96
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.44
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.93
Expected : window, 		Predicted : brickface, 		Log of likelihood : -55.42
Expected : window, 		Predicted : window, 		Log of likelihood : -55.81
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.99
Expected : brickface, 		Predicted : window, 		Log of likelihood : -88.54
Expected : path, 		Predicted : path, 		Log of likelihood : -54.62
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.73
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.35
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.81
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.41
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -60.14
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.59
Expected : window, 		Predicted : window, 		Log of likelihood : -58.68
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.51
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.28
Expected : path, 		Predicted : path, 		Log of likelihood : -52.43
Expected : brickface, 		Predicted : window, 		Log of likelihood : -55.57
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.29
Expected : path, 		Predicted : path, 		Log of likelihood : -62.66
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.93
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.66
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -64.80
Expected : window, 		Predicted : window, 		Log of likelihood : -56.34
Expected : path, 		Predicted : path, 		Log of likelihood : -57.15
Expected : brickface, 		Predicted : path, 		Log of likelihood : -54.85
Expected : brickface, 		Predicted : path, 		Log of likelihood : -57.18
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.76
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.88
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.75
Expected : window, 		Predicted : window, 		Log of likelihood : -56.46
Expected : window, 		Predicted : window, 		Log of likelihood : -55.55
Expected : window, 		Predicted : window, 		Log of likelihood : -54.97
Expected : window, 		Predicted : window, 		Log of likelihood : -55.30
Expected : path, 		Predicted : path, 		Log of likelihood : -59.52
Expected : window, 		Predicted : window, 		Log of likelihood : -58.70
Expected : brickface, 		Predicted : path, 		Log of likelihood : -54.29
Expected : window, 		Predicted : brickface, 		Log of likelihood : -55.63
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -64.53
Expected : window, 		Predicted : window, 		Log of likelihood : -56.90
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.94
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.07
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.30
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.56
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.60
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.39
Expected : brickface, 		Predicted : window, 		Log of likelihood : -56.08
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.37
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -66.24
Expected : window, 		Predicted : window, 		Log of likelihood : -56.19
Expected : window, 		Predicted : brickface, 		Log of likelihood : -55.82
Expected : window, 		Predicted : window, 		Log of likelihood : -55.82
Expected : brickface, 		Predicted : window, 		Log of likelihood : -56.96
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.99
Expected : path, 		Predicted : path, 		Log of likelihood : -64.44
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.33
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.84
Expected : brickface, 		Predicted : path, 		Log of likelihood : -54.66
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.11
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.38
Expected : window, 		Predicted : window, 		Log of likelihood : -60.12
Expected : window, 		Predicted : brickface, 		Log of likelihood : -57.95
Expected : path, 		Predicted : path, 		Log of likelihood : -57.00


Era 14
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.64
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.82
Expected : window, 		Predicted : window, 		Log of likelihood : -56.12
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.47
Expected : brickface, 		Predicted : path, 		Log of likelihood : -67.87
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.11
Expected : window, 		Predicted : window, 		Log of likelihood : -55.48
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.39
Expected : path, 		Predicted : path, 		Log of likelihood : -55.85
Expected : window, 		Predicted : brickface, 		Log of likelihood : -53.77
Expected : window, 		Predicted : window, 		Log of likelihood : -56.13
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -62.89
Expected : brickface, 		Predicted : window, 		Log of likelihood : -60.08
Expected : path, 		Predicted : path, 		Log of likelihood : -57.56
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.89
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.08
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -60.00
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.16
Expected : path, 		Predicted : path, 		Log of likelihood : -53.83
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.72
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.08
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.94
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.42
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -58.53
Expected : path, 		Predicted : path, 		Log of likelihood : -66.86
Expected : path, 		Predicted : path, 		Log of likelihood : -53.81
Expected : window, 		Predicted : window, 		Log of likelihood : -56.61
Expected : window, 		Predicted : window, 		Log of likelihood : -55.51
Expected : window, 		Predicted : window, 		Log of likelihood : -57.81
Expected : window, 		Predicted : window, 		Log of likelihood : -55.95
Expected : path, 		Predicted : path, 		Log of likelihood : -57.16
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.22
Expected : window, 		Predicted : window, 		Log of likelihood : -58.09
Expected : window, 		Predicted : window, 		Log of likelihood : -65.66
Expected : path, 		Predicted : path, 		Log of likelihood : -56.36
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.03
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.70
Expected : window, 		Predicted : window, 		Log of likelihood : -57.63
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -58.57
Expected : brickface, 		Predicted : path, 		Log of likelihood : -54.47
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.71
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.28
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.80
Expected : window, 		Predicted : path, 		Log of likelihood : -63.14
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.68
Expected : window, 		Predicted : window, 		Log of likelihood : -55.45
Expected : brickface, 		Predicted : window, 		Log of likelihood : -83.57
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -58.48
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.61
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.81
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.04
Expected : path, 		Predicted : path, 		Log of likelihood : -56.64
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.57
Expected : window, 		Predicted : window, 		Log of likelihood : -55.92
Expected : window, 		Predicted : window, 		Log of likelihood : -57.19
Expected : path, 		Predicted : path, 		Log of likelihood : -57.06
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.28
Expected : brickface, 		Predicted : window, 		Log of likelihood : -92.41
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.30
Expected : window, 		Predicted : brickface, 		Log of likelihood : -53.60
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.27
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.53
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.95
Expected : window, 		Predicted : window, 		Log of likelihood : -57.96
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.88
Expected : window, 		Predicted : window, 		Log of likelihood : -57.77
Expected : brickface, 		Predicted : window, 		Log of likelihood : -56.49
Expected : window, 		Predicted : window, 		Log of likelihood : -54.90
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.46
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.13
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.09
Expected : window, 		Predicted : window, 		Log of likelihood : -56.62
Expected : window, 		Predicted : window, 		Log of likelihood : -55.60
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.45
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.56
Expected : brickface, 		Predicted : window, 		Log of likelihood : -68.38
Expected : window, 		Predicted : window, 		Log of likelihood : -57.81
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.10
Expected : window, 		Predicted : window, 		Log of likelihood : -58.90
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.38
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.96
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.29
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.07
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.13
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -60.57
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.31
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.00
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.51
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -58.62
Expected : window, 		Predicted : window, 		Log of likelihood : -57.07
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.55
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.08
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.40
Expected : brickface, 		Predicted : path, 		Log of likelihood : -54.47
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.22
Expected : window, 		Predicted : brickface, 		Log of likelihood : -57.86
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.93
Expected : path, 		Predicted : path, 		Log of likelihood : -55.85
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.70
Expected : path, 		Predicted : path, 		Log of likelihood : -58.07
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.64
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.82
Expected : window, 		Predicted : window, 		Log of likelihood : -56.12
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.47
Expected : brickface, 		Predicted : path, 		Log of likelihood : -67.87
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.11
Expected : window, 		Predicted : window, 		Log of likelihood : -55.48
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.39
Expected : path, 		Predicted : path, 		Log of likelihood : -55.85
Expected : window, 		Predicted : brickface, 		Log of likelihood : -53.77
Expected : window, 		Predicted : window, 		Log of likelihood : -56.13
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -62.89
Expected : brickface, 		Predicted : window, 		Log of likelihood : -60.08
Expected : path, 		Predicted : path, 		Log of likelihood : -57.56
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.89
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.08
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -60.00
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.16
Expected : path, 		Predicted : path, 		Log of likelihood : -53.83
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.72
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.08
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.94
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.42
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -58.53
Expected : path, 		Predicted : path, 		Log of likelihood : -66.86
Expected : path, 		Predicted : path, 		Log of likelihood : -53.81
Expected : window, 		Predicted : window, 		Log of likelihood : -56.61
Expected : window, 		Predicted : window, 		Log of likelihood : -55.51
Expected : window, 		Predicted : window, 		Log of likelihood : -57.81
Expected : window, 		Predicted : window, 		Log of likelihood : -55.95
Expected : path, 		Predicted : path, 		Log of likelihood : -57.16
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.22
Expected : window, 		Predicted : window, 		Log of likelihood : -58.09
Expected : window, 		Predicted : window, 		Log of likelihood : -65.66
Expected : path, 		Predicted : path, 		Log of likelihood : -56.36
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.03
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.70
Expected : window, 		Predicted : window, 		Log of likelihood : -57.63
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -58.57
Expected : brickface, 		Predicted : path, 		Log of likelihood : -54.47
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.71
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.28
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.80
Expected : window, 		Predicted : path, 		Log of likelihood : -63.14
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.68
Expected : window, 		Predicted : window, 		Log of likelihood : -55.45
Expected : brickface, 		Predicted : window, 		Log of likelihood : -83.57
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -58.48
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.61
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.81
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.04
Expected : path, 		Predicted : path, 		Log of likelihood : -56.64
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.57
Expected : window, 		Predicted : window, 		Log of likelihood : -55.92
Expected : window, 		Predicted : window, 		Log of likelihood : -57.19
Expected : path, 		Predicted : path, 		Log of likelihood : -57.06
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.28
Expected : brickface, 		Predicted : window, 		Log of likelihood : -92.41
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.30
Expected : window, 		Predicted : brickface, 		Log of likelihood : -53.60
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.27
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.53
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.95
Expected : window, 		Predicted : window, 		Log of likelihood : -57.96
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.88
Expected : window, 		Predicted : window, 		Log of likelihood : -57.77
Expected : brickface, 		Predicted : window, 		Log of likelihood : -56.49
Expected : window, 		Predicted : window, 		Log of likelihood : -54.90
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.46
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.13
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.09
Expected : window, 		Predicted : window, 		Log of likelihood : -56.62
Expected : window, 		Predicted : window, 		Log of likelihood : -55.60
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.45
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.56
Expected : brickface, 		Predicted : window, 		Log of likelihood : -68.38
Expected : window, 		Predicted : window, 		Log of likelihood : -57.81
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.10
Expected : window, 		Predicted : window, 		Log of likelihood : -58.90
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.38
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.96
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.29
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.07
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.13
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -60.57
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.31
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.00
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.51
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -58.62
Expected : window, 		Predicted : window, 		Log of likelihood : -57.07
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.55
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.08
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.40
Expected : brickface, 		Predicted : path, 		Log of likelihood : -54.47
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.22
Expected : window, 		Predicted : brickface, 		Log of likelihood : -57.86
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.93
Expected : path, 		Predicted : path, 		Log of likelihood : -55.85
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.70
Expected : path, 		Predicted : path, 		Log of likelihood : -58.07
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.64
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.82
Expected : window, 		Predicted : window, 		Log of likelihood : -56.12
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.47
Expected : brickface, 		Predicted : path, 		Log of likelihood : -67.87
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.11
Expected : window, 		Predicted : window, 		Log of likelihood : -55.48
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.39
Expected : path, 		Predicted : path, 		Log of likelihood : -55.85
Expected : window, 		Predicted : brickface, 		Log of likelihood : -53.77
Expected : window, 		Predicted : window, 		Log of likelihood : -56.13
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -62.89
Expected : brickface, 		Predicted : window, 		Log of likelihood : -60.08
Expected : path, 		Predicted : path, 		Log of likelihood : -57.56
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.89
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.08
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -60.00
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.16
Expected : path, 		Predicted : path, 		Log of likelihood : -53.83
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.72
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.08
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.94
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.42
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -58.53
Expected : path, 		Predicted : path, 		Log of likelihood : -66.86
Expected : path, 		Predicted : path, 		Log of likelihood : -53.81
Expected : window, 		Predicted : window, 		Log of likelihood : -56.61
Expected : window, 		Predicted : window, 		Log of likelihood : -55.51
Expected : window, 		Predicted : window, 		Log of likelihood : -57.81
Expected : window, 		Predicted : window, 		Log of likelihood : -55.95
Expected : path, 		Predicted : path, 		Log of likelihood : -57.16
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.22
Expected : window, 		Predicted : window, 		Log of likelihood : -58.09
Expected : window, 		Predicted : window, 		Log of likelihood : -65.66
Expected : path, 		Predicted : path, 		Log of likelihood : -56.36
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.03
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.70
Expected : window, 		Predicted : window, 		Log of likelihood : -57.63
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -58.57
Expected : brickface, 		Predicted : path, 		Log of likelihood : -54.47
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.71
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.28
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.80
Expected : window, 		Predicted : path, 		Log of likelihood : -63.14
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.68
Expected : window, 		Predicted : window, 		Log of likelihood : -55.45
Expected : brickface, 		Predicted : window, 		Log of likelihood : -83.57
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -58.48
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.61
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.81
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.04
Expected : path, 		Predicted : path, 		Log of likelihood : -56.64
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.57
Expected : window, 		Predicted : window, 		Log of likelihood : -55.92
Expected : window, 		Predicted : window, 		Log of likelihood : -57.19
Expected : path, 		Predicted : path, 		Log of likelihood : -57.06
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.28
Expected : brickface, 		Predicted : window, 		Log of likelihood : -92.41
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.30
Expected : window, 		Predicted : brickface, 		Log of likelihood : -53.60
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.27
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.53
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.95
Expected : window, 		Predicted : window, 		Log of likelihood : -57.96
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.88
Expected : window, 		Predicted : window, 		Log of likelihood : -57.77
Expected : brickface, 		Predicted : window, 		Log of likelihood : -56.49
Expected : window, 		Predicted : window, 		Log of likelihood : -54.90
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.46
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.13
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.09
Expected : window, 		Predicted : window, 		Log of likelihood : -56.62
Expected : window, 		Predicted : window, 		Log of likelihood : -55.60
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.45
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.56
Expected : brickface, 		Predicted : window, 		Log of likelihood : -68.38
Expected : window, 		Predicted : window, 		Log of likelihood : -57.81
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.10
Expected : window, 		Predicted : window, 		Log of likelihood : -58.90
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.38
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.96
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.29
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.07
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.13
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -60.57
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.31
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.00
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.51
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -58.62
Expected : window, 		Predicted : window, 		Log of likelihood : -57.07
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.55
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.08
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.40
Expected : brickface, 		Predicted : path, 		Log of likelihood : -54.47
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.22
Expected : window, 		Predicted : brickface, 		Log of likelihood : -57.86
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.93
Expected : path, 		Predicted : path, 		Log of likelihood : -55.85
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.70
Expected : path, 		Predicted : path, 		Log of likelihood : -58.07


Era 15
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.55
Expected : window, 		Predicted : window, 		Log of likelihood : -55.77
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -60.82
Expected : path, 		Predicted : path, 		Log of likelihood : -57.37
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.74
Expected : window, 		Predicted : window, 		Log of likelihood : -57.19
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -58.52
Expected : window, 		Predicted : window, 		Log of likelihood : -56.61
